case,family,background,source_id,direction,model_feasible,assay_mean_feasible,assay_strict_feasible,feasible_states,normalizer,minimum_feasible_base_edits,exact_target_base_edits,factorized_invalid_mass,exact_target_assay_mean,exact_target_assay_strict,local_clause_count,blocking_run_clauses,blocking_run_complete,expected_regions_3_independent_draws,regions_3_exact_blocking_rounds
07e337078f05b1cf,"CTCF,FOXA1,TFAP2C",1,seq_126697,-1,False,False,False,,,,,,,,,,,,
08056de18f3b2544,"GABPA,GABPA,HNF4A",2,seq_155798,1,False,False,False,,,,,,,,,,,,
084b2fd395099f80,"CEBPA,FOXA1,GABPA",2,seq_188818,1,False,False,False,,,,,,,,,,,,
086cde0bc0f4131a,"AP1,RXRA,RXRA",1,seq_158733,-1,False,False,False,,,,,,,,,,,,
0923f7890412d070,"HNF1A,YY1,YY1",2,seq_174430,1,False,False,False,,,,,,,,,,,,
0941afb27480d08b,"CTCF,NR2F2,YY1",2,seq_168422,-1,False,False,False,,,,,,,,,,,,
09a236302f4a6fc6,"AHR,TFAP2C,YY1",1,seq_173037,1,False,False,False,,,,,,,,,,,,
09ae76e52a12c60b,"AHR,HNF1A,NR2F2",2,seq_176382,-1,False,False,False,,,,,,,,,,,,
0a46fd8238b62dfa,"REST,SP1,XBP1",2,seq_206512,-1,False,False,False,,,,,,,,,,,,
0a6c706d58e4c6a8,"CEBPA,RXRA,SP1",1,seq_157015,-1,False,False,False,,,,,,,,,,,,
0aa8f64f48129d4a,"AHR,CTCF,HNF4A",2,seq_154702,-1,False,False,False,,,,,,,,,,,,
0aa9c43f0254bd5c,"ONECUT1,XBP1,YY1",2,seq_136886,-1,False,False,False,,,,,,,,,,,,
0ab9537928de8c2b,"FOXA1,HNF4A,REST",2,seq_178846,-1,False,False,False,,,,,,,,,,,,
0ac297b04f21d8c9,"HNF4A,ONECUT1,RXRA",2,seq_158442,-1,False,True,False,,,,,,,,,,,,
0ae0e84cef990cde,"AHR,REST,SP1",1,seq_179737,-1,True,True,False,2.0,0.08481737504414398,8.0,9.94175104023745,0.0,0.14936546463365002,0.0,1.0,1.0,True,1.0,1.0
0aebd2aedc38f3a0,"PPARA,SP1,TFAP2C",1,seq_187745,1,True,True,False,2.0,0.09727685607221244,8.0,9.29256719549384,0.0,1.0,0.0,1.0,1.0,True,1.0,1.0
0b25aad6d57cea0c,"REST,SP1,XBP1",1,seq_206519,-1,False,True,False,,,,,,,,,,,,
0b360d7404f26e7e,"GABPA,ONECUT1,ONECUT1",2,seq_145840,-1,False,False,False,,,,,,,,,,,,
0b841b5fe8a5079d,"ONECUT1,REST,TFAP2C",2,seq_180094,-1,False,True,True,,,,,,,,,,,,
0b9109eafde79aa7,"FOXA1,FOXA1,SP1",2,seq_137090,1,False,True,False,,,,,,,,,,,,
0b9bb28cc337ff42,"GABPA,HNF4A,YY1",1,seq_152569,1,False,True,False,,,,,,,,,,,,
0bb818d9aabfa0b5,"AP1,RXRA,YY1",1,seq_157331,1,True,False,False,3.0,0.07715371521087727,9.0,11.707531128780456,0.07285135049664476,0.0,0.0,2.0,2.0,True,1.2665550486779444,2.0
0bd0b983194ccd12,"FOXA1,GABPA,ONECUT1",1,seq_142209,1,True,True,True,2.0,0.01483768824692227,21.0,22.550298498058748,0.0,1.0,0.2583830830097915,1.0,1.0,True,1.0,1.0
0c337cfc7084163f,"GABPA,HNF4A,PPARA",1,seq_192135,-1,False,False,False,,,,,,,,,,,,
0c5c5861a6f94dbb,"AHR,CTCF,ONECUT1",2,seq_199622,-1,False,True,False,,,,,,,,,,,,
0c631ee9b77c485f,"ONECUT1,ONECUT1,TFAP2C",1,seq_146113,-1,True,True,True,1.0,0.005152680400840055,24.0,24.0,0.0,1.0,1.0,1.0,1.0,True,1.0,1.0
0ce504e78ffdff23,"HNF1A,YY1,YY1",1,seq_132927,1,False,False,False,,,,,,,,,,,,
0d0014cbfd5b004e,"GABPA,RXRA,YY1",2,seq_157472,-1,False,False,False,,,,,,,,,,,,
0d0295a56954ffba,"FOXA1,ONECUT1,ONECUT1",1,seq_142057,-1,False,False,False,,,,,,,,,,,,
0d660b6fc09b5848,"CEBPA,HNF1A,HNF1A",1,seq_130395,-1,False,True,False,,,,,,,,,,,,
0e608179704323a8,"AP1,RXRA,YY1",1,seq_133699,-1,False,True,False,,,,,,,,,,,,
0ef322c720ec3771,"FOXA1,GABPA,ONECUT1",2,seq_142214,1,False,False,False,,,,,,,,,,,,
0efc719cc2e8890a,"FOXA1,HNF4A,REST",2,seq_180424,-1,False,False,False,,,,,,,,,,,,
0f6eb1b1c8a04c1a,"AHR,REST,SP1",1,seq_140465,-1,False,False,False,,,,,,,,,,,,
0fc0b4bd97bc25c8,"HNF4A,RXRA,XBP1",2,seq_158632,-1,False,True,True,,,,,,,,,,,,
0fcee1496ec97942,"AHR,GABPA,HNF4A",2,seq_190376,1,False,False,False,,,,,,,,,,,,
10c4bae1a3c92290,"FOXA1,GABPA,TFAP2C",1,seq_126663,1,False,False,False,,,,,,,,,,,,
115d71e5de9a5ac4,"HNF4A,SP1,YY1",1,seq_133137,1,False,True,False,,,,,,,,,,,,
1186c4421dc0d9d4,"CTCF,RXRA,YY1",1,seq_161073,1,False,False,False,,,,,,,,,,,,
118bbbdd10eeea04,"AHR,CTCF,TFAP2C",2,seq_196360,1,False,False,False,,,,,,,,,,,,
1194ac51362dd588,"ONECUT1,YY1,YY1",1,seq_142579,-1,False,False,False,,,,,,,,,,,,
11fb09623bc8d017,"CTCF,NR2F2,XBP1",2,seq_168644,1,False,False,False,,,,,,,,,,,,
127b920a554f40a1,"FOXA1,GABPA,YY1",2,seq_126210,1,False,False,False,,,,,,,,,,,,
128ea812cc5c687d,"CEBPA,GABPA,GABPA",1,seq_192337,-1,False,False,False,,,,,,,,,,,,
12c29b7f3d36ec1b,"HNF4A,RXRA,XBP1",2,seq_205042,-1,False,False,False,,,,,,,,,,,,
130d7bd45651209f,"CEBPA,CTCF,SP1",2,seq_198668,-1,False,False,False,,,,,,,,,,,,
13de4c24e3d008eb,"CTCF,REST,TFAP2C",2,seq_202594,-1,False,False,False,,,,,,,,,,,,
14ca012f1a94621f,"AHR,CTCF,HNF4A",2,seq_170868,-1,False,False,False,,,,,,,,,,,,
14f23345986e0e39,"FOXA1,FOXA1,NR2F2",1,seq_122533,-1,True,True,True,3.0,0.012304979948976814,28.0,29.02815247923327,0.20544988218475546,1.0000000000000002,1.0000000000000002,2.0,2.0,True,1.7434477426411972,2.0
15197af6277fbdc3,"CTCF,HNF4A,ONECUT1",2,seq_143928,1,False,False,False,,,,,,,,,,,,
152b15e68d410a81,"AP1,AP1,ONECUT1",2,seq_148098,1,False,False,False,,,,,,,,,,,,
15a43f6a72b89a77,"AP1,AP1,XBP1",1,seq_204719,1,False,False,False,,,,,,,,,,,,
15f4c9b51170bfd6,"ONECUT1,REST,TFAP2C",1,seq_194749,1,False,False,False,,,,,,,,,,,,
1617da8c626f3de4,"CTCF,GABPA,HNF4A",1,seq_156357,1,False,True,False,,,,,,,,,,,,
16191c0da08f4526,"AP1,CTCF,TFAP2C",1,seq_199977,1,False,False,False,,,,,,,,,,,,
1641ec23771402a6,"AP1,HNF1A,REST",1,seq_177145,1,False,True,False,,,,,,,,,,,,
1660e6d70805d153,"FOXA1,GABPA,ONECUT1",2,seq_123736,1,False,False,False,,,,,,,,,,,,
167282e605a267ca,"AP1,RXRA,YY1",1,seq_148885,-1,False,False,False,,,,,,,,,,,,
168f5fa65e4874f8,"AP1,AP1,PPARA",1,seq_185117,-1,True,True,True,3.0,0.09499705958998948,11.0,11.557165060169611,0.07760822606845161,0.9999999999999999,0.7214174699151943,2.0,2.0,True,1.602922912049062,2.0
16f60477263ab1f4,"CEBPA,FOXA1,SP1",2,seq_127350,1,False,False,False,,,,,,,,,,,,
170ad93c4b76a5fc,"CEBPA,CTCF,SP1",1,seq_137629,-1,True,True,True,4.0,0.10712797652304218,8.0,11.711631001912457,0.0,0.960222546778097,0.16642426910656716,1.0,1.0,True,1.0,1.0
174d915bc80be07a,"AP1,PPARA,TFAP2C",2,seq_150626,-1,False,False,False,,,,,,,,,,,,
17516d517bbe79f1,"GABPA,HNF4A,REST",1,seq_182623,1,True,True,False,2.0,0.08556029329005868,9.0,10.695414468086458,0.0,0.7174309219855903,0.0,1.0,1.0,True,1.0,1.0
17b73e01e5eacf4c,"ONECUT1,REST,RXRA",2,seq_145334,-1,False,False,False,,,,,,,,,,,,
17de0640fb379ab9,"AHR,AP1,SP1",1,seq_139837,-1,False,False,False,,,,,,,,,,,,
17f5ab7fd438b645,"CEBPA,FOXA1,RXRA",2,seq_124368,1,False,False,False,,,,,,,,,,,,
184b1f4e42d02dcd,"CEBPA,SP1,TFAP2C",2,seq_193770,-1,False,False,False,,,,,,,,,,,,
1867ca5ca52398dc,"AP1,AP1,ONECUT1",1,seq_148101,-1,False,False,False,,,,,,,,,,,,
1872136d496853f4,"ONECUT1,ONECUT1,TFAP2C",2,seq_143354,1,False,False,False,,,,,,,,,,,,
188a35dec7ba3274,"CTCF,NR2F2,XBP1",2,seq_200996,1,False,False,False,,,,,,,,,,,,
18ac2c202d132687,"AHR,CEBPA,PPARA",1,seq_130149,1,True,False,False,1.0,0.013727808067353024,20.0,20.0,0.0,0.0,0.0,1.0,1.0,True,1.0,1.0
18c7df90b9f4fb44,"CEBPA,FOXA1,SP1",2,seq_122730,1,False,False,False,,,,,,,,,,,,
193c11171500cbe0,"AP1,HNF1A,SP1",1,seq_149875,1,False,False,False,,,,,,,,,,,,
194bd5a6b7349d3b,"AHR,CTCF,ONECUT1",2,seq_146492,-1,False,False,False,,,,,,,,,,,,
