case,family,background,source_id,direction,method,smc_survived,found_cf,terminal_tv,ess_fraction,normalizer_relative_estimate,unique_cf,seconds,best_base_edit_regret,endpoint_mean_meets_gain,endpoint_all_replicates_positive,endpoint_all_replicates_meet_gain,endpoint_base_edits
084b2fd395099f80,"CEBPA,FOXA1,GABPA",2,seq_188818,1,exact,1.0,1.0,0.08984375,0.9999999999999999,1.0000000000000004,1.9375,0.0002923190625239158,0.0,0.0,0.0,0.0,16.93359375
084b2fd395099f80,"CEBPA,FOXA1,GABPA",2,seq_188818,1,defensive_rollout,1.0,1.0,0.08270217148734253,0.5663596324226448,0.9658752676860439,1.9375,0.0004977061874882338,0.0,0.0,0.0,0.0,16.78704575875742
0923f7890412d070,"HNF1A,YY1,YY1",2,seq_174430,1,reference,1.0,1.0,0.11351014256345932,0.28709622919256816,1.15529200602073,2.0,0.0004372823750173893,0.0,0.0,0.0,0.0,28.672034238318318
0923f7890412d070,"HNF1A,YY1,YY1",2,seq_174430,1,myopic,1.0,1.0,0.19223763497066454,0.21543168295352574,0.749478825233315,1.4375,0.00043148937496084727,0.0,0.0,0.0,0.0,28.582239820406464
0923f7890412d070,"HNF1A,YY1,YY1",2,seq_174430,1,rollout,1.0,1.0,0.08348977357815886,0.6941517348328519,0.683160755401695,1.9375,0.0008518436249573824,0.0,0.0,0.0,0.0,28.81547502818796
0923f7890412d070,"HNF1A,YY1,YY1",2,seq_174430,1,learned,1.0,1.0,0.10387044577438004,0.5867526174961977,0.8104561978594128,2.0,0.002566191999974876,0.0,0.0,0.0,0.0,29.247530067527094
0923f7890412d070,"HNF1A,YY1,YY1",2,seq_174430,1,exact,1.0,1.0,0.07834739775226748,1.0,1.0000000000000004,2.0,0.0002534865000143327,0.0,0.0,0.0,0.0,28.875
0923f7890412d070,"HNF1A,YY1,YY1",2,seq_174430,1,defensive_rollout,1.0,1.0,0.12096571293245459,0.3996032951820676,1.0486476211777203,2.0,0.000536929562485966,0.0,0.0,0.0,0.0,28.359346006768586
09ae76e52a12c60b,"AHR,HNF1A,NR2F2",2,seq_176382,-1,reference,1.0,1.0,0.21374955588830324,0.69173574505912,1.0517925537769974,5.375,0.00024091531250292064,0.0,0.9235311468455122,0.0659263045142063,0.0659263045142063,17.204862069787726
09ae76e52a12c60b,"AHR,HNF1A,NR2F2",2,seq_176382,-1,myopic,1.0,1.0,0.2988516526236223,0.340925686880474,1.0181863131674112,3.0,0.00024914862498803814,0.0,0.9668410068825183,0.0,0.0,14.911525134626137
